id,年度,施設名,キャッチコピー,公式記事URL,公式掲載区分,公式掲載確認日,参考住所,緯度,経度,参考uMap一致名称,参考情報注記,国土地理院検索住所,国土地理院結果住所,国土地理院経度,国土地理院緯度,国土地理院取得状態,国土地理院API_URL,場所分類,場所分類根拠
11,令和3年度,STUDIO・４５,お父さんへの想いが詰まった居心地の良い地元コミュニティの憩いの場,https://artscouncil-saitama.jp/library/survey/studio45/,調査済みリスト掲載,2026-08-02,埼玉県さいたま市浦和区高砂4−3−1 高砂サニーコーポ103,35.856879,139.647088,STUDIO４５,住所・座標は添付uMap由来。公式採用判定は公式サイトのみ。,埼玉県さいたま市浦和区高砂4−3−1 高砂サニーコーポ103,埼玉県さいたま市浦和区高砂四丁目３番１号,139.647141,35.85677,取得済み,https://msearch.gsi.go.jp/address-search/AddressSearch?q=%E5%9F%BC%E7%8E%89%E7%9C%8C%E3%81%95%E3%81%84%E3%81%9F%E3%81%BE%E5%B8%82%E6%B5%A6%E5%92%8C%E5%8C%BA%E9%AB%98%E7%A0%824%E2%88%923%E2%88%921%20%E9%AB%98%E7%A0%82%E3%82%B5%E3%83%8B%E3%83%BC%E3%82%B3%E3%83%BC%E3%83%9D103,地域・居場所,地域の人が集まり活動できる居場所としての性格を主と判断
12,令和3年度,STAND Coffee コトコト＆Gallery-B,自然とアートが織り出すもの,https://artscouncil-saitama.jp/library/survey/stand-coffee-cotocoto-gallery/,調査済みリスト掲載,2026-08-02,埼玉県さいたま市南区南本町2−7−12,35.84683,139.665313,STAND Coffee コトコト＆Gallery,住所・座標は添付uMap由来。公式採用判定は公式サイトのみ。,埼玉県さいたま市南区南本町2−7−12,埼玉県さいたま市南区南本町二丁目７番１２号,139.665298,35.846893,取得済み,https://msearch.gsi.go.jp/address-search/AddressSearch?q=%E5%9F%BC%E7%8E%89%E7%9C%8C%E3%81%95%E3%81%84%E3%81%9F%E3%81%BE%E5%B8%82%E5%8D%97%E5%8C%BA%E5%8D%97%E6%9C%AC%E7%94%BA2%E2%88%927%E2%88%9212,飲食・交流,カフェ・飲食を介した交流の場としての性格を主と判断
13,令和3年度,space845,この絶対的開放感で心が解放される場所,https://artscouncil-saitama.jp/library/survey/space845/,調査済みリスト掲載,2026-08-02,埼玉県さいたま市岩槻区大口６３９−１,35.940447,139.74177,space845,住所・座標は添付uMap由来。公式採用判定は公式サイトのみ。,埼玉県さいたま市岩槻区大口６３９−１,埼玉県さいたま市岩槻区大口,139.745621,35.94558,取得済み,https://msearch.gsi.go.jp/address-search/AddressSearch?q=%E5%9F%BC%E7%8E%89%E7%9C%8C%E3%81%95%E3%81%84%E3%81%9F%E3%81%BE%E5%B8%82%E5%B2%A9%E6%A7%BB%E5%8C%BA%E5%A4%A7%E5%8F%A3%EF%BC%96%EF%BC%93%EF%BC%99%E2%88%92%EF%BC%91,展示・鑑賞,ギャラリー・美術館・展示スペースとしての性格を主と判断
14,令和3年度,つきのみちくさ,浦和の歴史的な小道で木の温もりを感じる自由な空間,https://artscouncil-saitama.jp/library/survey/atelier-ring/,調査済みリスト掲載,2026-08-02,埼玉県さいたま市浦和区岸町4-18-11-1,35.854068,139.656803,つきのみちくさ,住所・座標は添付uMap由来。公式採用判定は公式サイトのみ。,埼玉県さいたま市浦和区岸町4-18-11-1,埼玉県さいたま市浦和区岸町四丁目１８番１１号,139.656723,35.854198,取得済み,https://msearch.gsi.go.jp/address-search/AddressSearch?q=%E5%9F%BC%E7%8E%89%E7%9C%8C%E3%81%95%E3%81%84%E3%81%9F%E3%81%BE%E5%B8%82%E6%B5%A6%E5%92%8C%E5%8C%BA%E5%B2%B8%E7%94%BA4-18-11-1,地域・居場所,地域の人が集まり活動できる居場所としての性格を主と判断
15,令和3年度,ファーム・インさぎ山,数百年続く見沼の農を未来へ　農業体験、食育、「野良の藝術」に開かれた場,https://artscouncil-saitama.jp/library/survey/sagiyama/,調査済みリスト掲載,2026-08-02,埼玉県さいたま市緑区上野田282,35.90509,139.70178,さぎ山の炭窯(ファーム・インさぎ山)社会芸術/ユニット・ウルス,住所・座標は添付uMap由来。公式採用判定は公式サイトのみ。,埼玉県さいたま市緑区上野田282,埼玉県さいたま市緑区上野田２８２番地,139.701782,35.905094,取得済み,https://msearch.gsi.go.jp/address-search/AddressSearch?q=%E5%9F%BC%E7%8E%89%E7%9C%8C%E3%81%95%E3%81%84%E3%81%9F%E3%81%BE%E5%B8%82%E7%B7%91%E5%8C%BA%E4%B8%8A%E9%87%8E%E7%94%B0282,文化・自然,寺院・農・自然文化を継承し体験する場としての性格を主と判断
16,令和3年度,Blue Bird Cafe & Atelier Blue Bird,音楽とアートで心穏やかに、こだわりの食材で体安らぐ氷川の杜近くのアトリエカフェ,https://artscouncil-saitama.jp/library/survey/blue-bird-cafe-atelier-blue-bird/,調査済みリスト掲載,2026-08-02,埼玉県さいたま市大宮区寿能町1-16-11,35.921525,139.630845,カフェブルーバード,住所・座標は添付uMap由来。公式採用判定は公式サイトのみ。,埼玉県さいたま市大宮区寿能町1-16-11,埼玉県さいたま市大宮区寿能町一丁目１６番地,139.630676,35.921917,取得済み,https://msearch.gsi.go.jp/address-search/AddressSearch?q=%E5%9F%BC%E7%8E%89%E7%9C%8C%E3%81%95%E3%81%84%E3%81%9F%E3%81%BE%E5%B8%82%E5%A4%A7%E5%AE%AE%E5%8C%BA%E5%AF%BF%E8%83%BD%E7%94%BA1-16-11,飲食・交流,カフェ・飲食を介した交流の場としての性格を主と判断
17,令和3年度,ブロックはかせ．LABO,おもちゃがつくりだす、子どもたちの居場所,https://artscouncil-saitama.jp/library/survey/blockhakase-labo/,調査済みリスト掲載,2026-08-02,埼玉県さいたま市浦和区常盤9-11-12 2F,35.869625,139.645768,おもちゃカフェブロックはかせlabo,住所・座標は添付uMap由来。公式採用判定は公式サイトのみ。,埼玉県さいたま市浦和区常盤9-11-12 2F,埼玉県さいたま市浦和区常盤九丁目１１番１２号,139.645767,35.869534,取得済み,https://msearch.gsi.go.jp/address-search/AddressSearch?q=%E5%9F%BC%E7%8E%89%E7%9C%8C%E3%81%95%E3%81%84%E3%81%9F%E3%81%BE%E5%B8%82%E6%B5%A6%E5%92%8C%E5%8C%BA%E5%B8%B8%E7%9B%A49-11-12%202F,ものづくり・体験,制作・工房・体験活動の場としての性格を主と判断
18,令和3年度,ヘルシーカフェのら,のらにあつまる地域のあれこれ。野菜と温もりとイマジネーション!!,https://artscouncil-saitama.jp/library/survey/healthy-cafe-nora/,調査済みリスト掲載,2026-08-02,埼玉県さいたま市南区鹿手袋7−3−2,35.8475,139.636209,ヘルシーカフェのら,住所・座標は添付uMap由来。公式採用判定は公式サイトのみ。,埼玉県さいたま市南区鹿手袋7−3−2,埼玉県さいたま市南区鹿手袋七丁目３番２号,139.636307,35.847561,取得済み,https://msearch.gsi.go.jp/address-search/AddressSearch?q=%E5%9F%BC%E7%8E%89%E7%9C%8C%E3%81%95%E3%81%84%E3%81%9F%E3%81%BE%E5%B8%82%E5%8D%97%E5%8C%BA%E9%B9%BF%E6%89%8B%E8%A2%8B7%E2%88%923%E2%88%922,飲食・交流,カフェ・飲食を介した交流の場としての性格を主と判断
19,令和3年度,マーブルテラス,まぜこせをテーマに、素敵なクッキーと交流に出会える場所,https://artscouncil-saitama.jp/library/survey/marble-terrace/,調査済みリスト掲載,2026-08-02,埼玉県さいたま市浦和区常盤10−21−9コミューンときわ1階,35.872188,139.638092,Cookie & Deli マーブルテラス,住所・座標は添付uMap由来。公式採用判定は公式サイトのみ。,埼玉県さいたま市浦和区常盤10−21−9コミューンときわ1階,埼玉県さいたま市浦和区常盤十丁目２１番９号,139.63797,35.872196,取得済み,https://msearch.gsi.go.jp/address-search/AddressSearch?q=%E5%9F%BC%E7%8E%89%E7%9C%8C%E3%81%95%E3%81%84%E3%81%9F%E3%81%BE%E5%B8%82%E6%B5%A6%E5%92%8C%E5%8C%BA%E5%B8%B8%E7%9B%A410%E2%88%9221%E2%88%929%E3%82%B3%E3%83%9F%E3%83%A5%E3%83%BC%E3%83%B3%E3%81%A8%E3%81%8D%E3%82%8F1%E9%9A%8E,飲食・交流,カフェ・飲食を介した交流の場としての性格を主と判断
20,令和3年度,路地裏Garage Market,若者たちの魅力が湧き溢れる「パワースポット」楽しい発信ひろば・交流ひろば基地,https://artscouncil-saitama.jp/library/survey/rojiuragarage-market/,調査済みリスト掲載,2026-08-02,埼玉県さいたま市中央区鈴谷7-7-3,35.874816,139.624455,路地裏GarageMarket,住所・座標は添付uMap由来。公式採用判定は公式サイトのみ。,埼玉県さいたま市中央区鈴谷7-7-3,埼玉県さいたま市中央区鈴谷七丁目７番３号,139.624374,35.874737,取得済み,https://msearch.gsi.go.jp/address-search/AddressSearch?q=%E5%9F%BC%E7%8E%89%E7%9C%8C%E3%81%95%E3%81%84%E3%81%9F%E3%81%BE%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%E9%88%B4%E8%B0%B77-7-3,地域・居場所,地域の人が集まり活動できる居場所としての性格を主と判断
21,令和4年度,ギャラリー＆カフェ エソラⅡ,伝説の文化サロンを見沼で引き継ぐ,https://artscouncil-saitama.jp/library/survey/esora2/,調査済みリスト掲載,2026-08-02,埼玉県さいたま市見沼区東新井588-1,35.909013,139.65978,エソラⅡ,住所・座標は添付uMap由来。公式採用判定は公式サイトのみ。,埼玉県さいたま市見沼区東新井588-1,埼玉県さいたま市見沼区東新井５８８番地,139.660172,35.909077,取得済み,https://msearch.gsi.go.jp/address-search/AddressSearch?q=%E5%9F%BC%E7%8E%89%E7%9C%8C%E3%81%95%E3%81%84%E3%81%9F%E3%81%BE%E5%B8%82%E8%A6%8B%E6%B2%BC%E5%8C%BA%E6%9D%B1%E6%96%B0%E4%BA%95588-1,展示・鑑賞,ギャラリー・美術館・展示スペースとしての性格を主と判断
22,令和4年度,ギャラリー樟楠（kusu kusu）,「クスっ」っと笑ってしまう!こだわりの空間,https://artscouncil-saitama.jp/library/survey/kusu-kusu/,調査済みリスト掲載,2026-08-02,埼玉県さいたま市大宮区北袋町1-147,35.895777,139.639884,ギャラリー樟楠（kusu kusu）,住所・座標は添付uMap由来。公式採用判定は公式サイトのみ。,埼玉県さいたま市大宮区北袋町1-147,埼玉県さいたま市大宮区北袋町一丁目１４７番地,139.639771,35.895786,取得済み,https://msearch.gsi.go.jp/address-search/AddressSearch?q=%E5%9F%BC%E7%8E%89%E7%9C%8C%E3%81%95%E3%81%84%E3%81%9F%E3%81%BE%E5%B8%82%E5%A4%A7%E5%AE%AE%E5%8C%BA%E5%8C%97%E8%A2%8B%E7%94%BA1-147,展示・鑑賞,ギャラリー・美術館・展示スペースとしての性格を主と判断
23,令和4年度,ギャラリー健,創作好きな2歳～90歳の方々が楽しく学んでいる彫刻工房・陶芸工房・絵画教室に併設された「ギャラリー」,https://artscouncil-saitama.jp/library/survey/galleryken/,調査済みリスト掲載,2026-08-02,南区関1-1-3,35.853009,139.637521,ギャラリー健,住所・座標は添付uMap由来。公式採用判定は公式サイトのみ。,埼玉県さいたま市南区関1-1-3,埼玉県さいたま市南区関一丁目１番３号,139.637573,35.853062,取得済み,https://msearch.gsi.go.jp/address-search/AddressSearch?q=%E5%9F%BC%E7%8E%89%E7%9C%8C%E3%81%95%E3%81%84%E3%81%9F%E3%81%BE%E5%B8%82%E5%8D%97%E5%8C%BA%E9%96%A21-1-3,展示・鑑賞,ギャラリー・美術館・展示スペースとしての性格を主と判断
24,令和4年度,木力館,岩槻にある木の博物館、木の情報発信基,https://artscouncil-saitama.jp/library/survey/wood-power/,調査済みリスト掲載,2026-08-02,埼玉県さいたま市岩槻区新方須賀558-2,35.9298,139.7373,木力館,住所・座標は添付uMap由来。公式採用判定は公式サイトのみ。,埼玉県さいたま市岩槻区新方須賀558-2,埼玉県さいたま市岩槻区新方須賀５５８番地,139.737305,35.929798,取得済み,https://msearch.gsi.go.jp/address-search/AddressSearch?q=%E5%9F%BC%E7%8E%89%E7%9C%8C%E3%81%95%E3%81%84%E3%81%9F%E3%81%BE%E5%B8%82%E5%B2%A9%E6%A7%BB%E5%8C%BA%E6%96%B0%E6%96%B9%E9%A0%88%E8%B3%80558-2,展示・鑑賞,ギャラリー・美術館・展示スペースとしての性格を主と判断
25,令和4年度,彩光舎,さいたま市の美術予備校・絵画教室・ギャラリー・画材販売を運営しているマルチな美術研究所,https://artscouncil-saitama.jp/library/survey/gallery-saikousha/,調査済みリスト掲載,2026-08-02,浦和区岸町6-2-1,35.85274,139.654947,ギャラリー彩光舎,住所・座標は添付uMap由来。公式採用判定は公式サイトのみ。,埼玉県さいたま市浦和区岸町6-2-1,埼玉県さいたま市浦和区岸町六丁目２番１号,139.654984,35.852848,取得済み,https://msearch.gsi.go.jp/address-search/AddressSearch?q=%E5%9F%BC%E7%8E%89%E7%9C%8C%E3%81%95%E3%81%84%E3%81%9F%E3%81%BE%E5%B8%82%E6%B5%A6%E5%92%8C%E5%8C%BA%E5%B2%B8%E7%94%BA6-2-1,展示・鑑賞,ギャラリー・美術館・展示スペースとしての性格を主と判断
26,令和4年度,社会福祉法人みぬま福祉会 工房集,障がいのある方々が、個々が生き生きと 好きなことを仕事として創作活動できる素敵な「場所」,https://artscouncil-saitama.jp/library/survey/kobo-syu/,調査済みリスト掲載,2026-08-02,川口市木曽呂1445,35.862037,139.714833,社会福祉法人みぬま福祉会 工房集,住所・座標は添付uMap由来。公式採用判定は公式サイトのみ。,埼玉県川口市木曽呂1445,埼玉県川口市木曽呂１４４５番地,139.715103,35.861942,取得済み,https://msearch.gsi.go.jp/address-search/AddressSearch?q=%E5%9F%BC%E7%8E%89%E7%9C%8C%E5%B7%9D%E5%8F%A3%E5%B8%82%E6%9C%A8%E6%9B%BD%E5%91%821445,ものづくり・体験,制作・工房・体験活動の場としての性格を主と判断
27,令和4年度,takase,“もの”を通して“何か”をつたえるshop&gallery,https://artscouncil-saitama.jp/library/survey/takase/,調査済みリスト掲載,2026-08-02,埼玉県さいたま市緑区宮本2-19-14,35.888124,139.693404,takase,住所・座標は添付uMap由来。公式採用判定は公式サイトのみ。,埼玉県さいたま市緑区宮本2-19-14,埼玉県さいたま市緑区宮本二丁目１９番,139.693604,35.888115,取得済み,https://msearch.gsi.go.jp/address-search/AddressSearch?q=%E5%9F%BC%E7%8E%89%E7%9C%8C%E3%81%95%E3%81%84%E3%81%9F%E3%81%BE%E5%B8%82%E7%B7%91%E5%8C%BA%E5%AE%AE%E6%9C%AC2-19-14,本・買い物,本・生活文化・作品等を選び購入できる場としての性格を主と判断
28,令和4年度,モッキンカン 木の森美術館 しまずよしのり,不思議な森の世界に導かれる住宅街の美術館,https://artscouncil-saitama.jp/library/survey/mokkinkan/,調査済みリスト掲載,2026-08-02,埼玉県さいたま市南区大谷口593,35.864711,139.67476,モッキンカン木の森美術館,住所・座標は添付uMap由来。公式採用判定は公式サイトのみ。,埼玉県さいたま市南区大谷口593,埼玉県さいたま市南区大谷口５９３番地,139.674774,35.864487,取得済み,https://msearch.gsi.go.jp/address-search/AddressSearch?q=%E5%9F%BC%E7%8E%89%E7%9C%8C%E3%81%95%E3%81%84%E3%81%9F%E3%81%BE%E5%B8%82%E5%8D%97%E5%8C%BA%E5%A4%A7%E8%B0%B7%E5%8F%A3593,展示・鑑賞,ギャラリー・美術館・展示スペースとしての性格を主と判断
29,令和4年度,柳沢画廊,柳沢画廊のこだわりは、価値ある作品を、責任をもって販売していること,https://artscouncil-saitama.jp/library/survey/yanagisawagallery/,調査済みリスト掲載,2026-08-02,浦和区高砂2-14-16,35.859257,139.653523,柳沢画廊,住所・座標は添付uMap由来。公式採用判定は公式サイトのみ。,埼玉県さいたま市浦和区高砂2-14-16,埼玉県さいたま市浦和区高砂二丁目１４番１６号,139.653595,35.859219,取得済み,https://msearch.gsi.go.jp/address-search/AddressSearch?q=%E5%9F%BC%E7%8E%89%E7%9C%8C%E3%81%95%E3%81%84%E3%81%9F%E3%81%BE%E5%B8%82%E6%B5%A6%E5%92%8C%E5%8C%BA%E9%AB%98%E7%A0%822-14-16,展示・鑑賞,ギャラリー・美術館・展示スペースとしての性格を主と判断
30,令和4年度,ラルゴ（Largo）,ゆるやかに、繋がり、時が流れてゆく、絵画と音楽の両方を楽しめるギャラリー・カフェ,https://artscouncil-saitama.jp/library/survey/largo/,調査済みリスト掲載,2026-08-02,埼玉県さいたま市さいたま市中央区鈴谷２丁目725-1ソレイユ南与野1F,35.86152,139.64551,Largo,住所・座標は添付uMap由来。公式採用判定は公式サイトのみ。,埼玉県さいたま市中央区鈴谷２丁目725-1ソレイユ南与野1F,埼玉県さいたま市中央区鈴谷二丁目７２５番地,139.627396,35.868607,取得済み,https://msearch.gsi.go.jp/address-search/AddressSearch?q=%E5%9F%BC%E7%8E%89%E7%9C%8C%E3%81%95%E3%81%84%E3%81%9F%E3%81%BE%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA%E9%88%B4%E8%B0%B7%EF%BC%92%E4%B8%81%E7%9B%AE725-1%E3%82%BD%E3%83%AC%E3%82%A4%E3%83%A6%E5%8D%97%E4%B8%8E%E9%87%8E1F,展示・鑑賞,ギャラリー・美術館・展示スペースとしての性格を主と判断
31,令和5年度,GAFU -gallery & space-,"""GAFU（画布）""であなたの想いを実現へ",https://artscouncil-saitama.jp/library/survey/gafu-gallery-space/,調査済みリスト掲載,2026-08-02,さいたま市南区別所3-21-4,35.852098,139.646157,GAFU -gallery & space-,住所・座標は添付uMap由来。公式採用判定は公式サイトのみ。,埼玉県さいたま市南区別所3-21-4,埼玉県さいたま市南区別所三丁目２１番４号,139.646393,35.852104,取得済み,https://msearch.gsi.go.jp/address-search/AddressSearch?q=%E5%9F%BC%E7%8E%89%E7%9C%8C%E3%81%95%E3%81%84%E3%81%9F%E3%81%BE%E5%B8%82%E5%8D%97%E5%8C%BA%E5%88%A5%E6%89%803-21-4,展示・鑑賞,ギャラリー・美術館・展示スペースとしての性格を主と判断
32,令和5年度,コンドウハウス,『コミュニティ』の中で生きるための『みんなの居場所』づくり,https://artscouncil-saitama.jp/library/survey/kondohouse-kon-kitchen/,調査済みリスト掲載,2026-08-02,緑区三室680-1,35.891558,139.672156,コンドウハウスKonキッチン,住所・座標は添付uMap由来。公式採用判定は公式サイトのみ。,埼玉県さいたま市緑区三室680-1,埼玉県さいたま市緑区三室６８０番地,139.671524,35.891655,取得済み,https://msearch.gsi.go.jp/address-search/AddressSearch?q=%E5%9F%BC%E7%8E%89%E7%9C%8C%E3%81%95%E3%81%84%E3%81%9F%E3%81%BE%E5%B8%82%E7%B7%91%E5%8C%BA%E4%B8%89%E5%AE%A4680-1,地域・居場所,地域の人が集まり活動できる居場所としての性格を主と判断
33,令和5年度,TOROto,コスモ薬局が地域に開く、食・健康・医療をテーマにしたリビングのような空間,https://artscouncil-saitama.jp/library/survey/toroto/,調査済みリスト掲載,2026-08-02,北区土呂町2-12-20 コスモスクエア４階,35.932364,139.632706,TOROto キッチン＆コワーキングスペース,住所・座標は添付uMap由来。公式採用判定は公式サイトのみ。,埼玉県さいたま市北区土呂町2-12-20 コスモスクエア４階,埼玉県さいたま市北区土呂町二丁目１２番,139.632996,35.932587,取得済み,https://msearch.gsi.go.jp/address-search/AddressSearch?q=%E5%9F%BC%E7%8E%89%E7%9C%8C%E3%81%95%E3%81%84%E3%81%9F%E3%81%BE%E5%B8%82%E5%8C%97%E5%8C%BA%E5%9C%9F%E5%91%82%E7%94%BA2-12-20%20%E3%82%B3%E3%82%B9%E3%83%A2%E3%82%B9%E3%82%AF%E3%82%A8%E3%82%A2%EF%BC%94%E9%9A%8E,地域・居場所,地域の人が集まり活動できる居場所としての性格を主と判断
